"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"10/24/2022 12 a.m. EDT",0,3,712,0,1266,-19,2684
CPLE,"10/24/2022 1 a.m. EDT",-1,4,627,0,1253,-20,2684
CPLE,"10/24/2022 2 a.m. EDT",-3,5,617,0,1251,-17,2687
CPLE,"10/24/2022 3 a.m. EDT",0,5,616,-2,1264,-20,2687
CPLE,"10/24/2022 4 a.m. EDT",-3,4,617,-2,1271,-18,2685
CPLE,"10/24/2022 5 a.m. EDT",-1,5,618,0,1259,-19,2688
CPLE,"10/24/2022 6 a.m. EDT",-1,5,624,0,1393,-19,2686
CPLE,"10/24/2022 7 a.m. EDT",-3,4,620,0,1483,-19,2689
CPLE,"10/24/2022 8 a.m. EDT",31,4,599,0,1580,-19,2688
CPLE,"10/24/2022 9 a.m. EDT",264,5,592,0,1557,-20,2689
CPLE,"10/24/2022 10 a.m. EDT",880,3,595,0,1438,-20,2689
CPLE,"10/24/2022 11 a.m. EDT",1547,0,595,0,1461,-16,2686
CPLE,"10/24/2022 12 p.m. EDT",2022,0,568,0,1372,-20,2688
CPLE,"10/24/2022 1 p.m. EDT",2270,0,543,0,1077,-18,2686
CPLE,"10/24/2022 2 p.m. EDT",2299,-1,538,0,1023,-20,2684
CPLE,"10/24/2022 3 p.m. EDT",2232,0,542,0,1037,-18,2683
CPLE,"10/24/2022 4 p.m. EDT",1949,0,560,0,1107,-18,2679
CPLE,"10/24/2022 5 p.m. EDT",1407,0,591,0,1191,-19,2682
CPLE,"10/24/2022 6 p.m. EDT",542,20,600,0,1322,-17,2677
CPLE,"10/24/2022 7 p.m. EDT",41,32,662,0,1524,-20,2680
CPLE,"10/24/2022 8 p.m. EDT",26,12,669,0,1675,-19,2677
CPLE,"10/24/2022 9 p.m. EDT",-1,0,689,0,1725,-20,2679
CPLE,"10/24/2022 10 p.m. EDT",-2,0,694,0,1610,-18,2679
CPLE,"10/24/2022 11 p.m. EDT",-4,-1,642,0,1487,-21,2681
CPLE,"10/25/2022 12 a.m. EDT",0,0,629,0,1123,-18,2679
CPLE,"10/25/2022 1 a.m. EDT",-3,0,628,0,1151,-21,2678
CPLE,"10/25/2022 2 a.m. EDT",0,0,626,0,1239,-18,2679
CPLE,"10/25/2022 3 a.m. EDT",-1,0,634,0,1239,-19,2678
CPLE,"10/25/2022 4 a.m. EDT",-3,0,630,0,1232,-19,2676
CPLE,"10/25/2022 5 a.m. EDT",-4,0,633,0,1223,-20,2680
CPLE,"10/25/2022 6 a.m. EDT",0,0,625,0,1291,-20,2680
CPLE,"10/25/2022 7 a.m. EDT",-1,0,622,-1,1551,-20,2678
CPLE,"10/25/2022 8 a.m. EDT",31,-1,606,-1,1596,-21,2682
CPLE,"10/25/2022 9 a.m. EDT",219,1,559,-1,1556,-19,2680
CPLE,"10/25/2022 10 a.m. EDT",531,10,526,-1,1401,-20,2680
CPLE,"10/25/2022 11 a.m. EDT",855,11,533,-1,1357,-19,2681
CPLE,"10/25/2022 12 p.m. EDT",1314,0,518,-1,1244,-20,2673
CPLE,"10/25/2022 1 p.m. EDT",1559,0,485,-1,1116,-20,2669
CPLE,"10/25/2022 2 p.m. EDT",1704,-1,490,0,1121,-19,2672
CPLE,"10/25/2022 3 p.m. EDT",1858,0,489,0,1100,-19,2658
CPLE,"10/25/2022 4 p.m. EDT",1846,0,484,0,1106,-20,2687
CPLE,"10/25/2022 5 p.m. EDT",1330,1,505,0,1218,-20,2663
CPLE,"10/25/2022 6 p.m. EDT",414,22,575,0,1495,-19,2671
CPLE,"10/25/2022 7 p.m. EDT",39,30,598,0,1555,-18,2670
CPLE,"10/25/2022 8 p.m. EDT",25,31,601,0,1540,-21,2669
CPLE,"10/25/2022 9 p.m. EDT",-1,2,621,0,1521,-18,2670
CPLE,"10/25/2022 10 p.m. EDT",-2,-1,623,0,1505,-20,2670
CPLE,"10/25/2022 11 p.m. EDT",-3,0,621,0,1341,-20,2671
CPLE,"10/26/2022 12 a.m. EDT",-5,0,619,0,1142,-18,2668
CPLE,"10/26/2022 1 a.m. EDT",-2,0,604,-2,924,-20,2670
CPLE,"10/26/2022 2 a.m. EDT",0,0,616,0,924,-20,2668
CPLE,"10/26/2022 3 a.m. EDT",-2,0,657,-1,1024,-19,2673
CPLE,"10/26/2022 4 a.m. EDT",-1,-1,736,-1,1051,-21,2671
CPLE,"10/26/2022 5 a.m. EDT",0,0,798,0,1343,-17,2670
CPLE,"10/26/2022 6 a.m. EDT",-4,0,862,-1,1553,-22,2670
CPLE,"10/26/2022 7 a.m. EDT",-2,11,865,0,1756,-19,2670
CPLE,"10/26/2022 8 a.m. EDT",13,11,855,-1,1786,-20,2674
CPLE,"10/26/2022 9 a.m. EDT",141,0,858,0,1805,-19,2669
CPLE,"10/26/2022 10 a.m. EDT",355,0,861,0,1762,-20,2670
CPLE,"10/26/2022 11 a.m. EDT",763,-1,859,0,1720,-19,2670
CPLE,"10/26/2022 12 p.m. EDT",1206,0,836,0,1625,-20,2672
CPLE,"10/26/2022 1 p.m. EDT",1246,0,824,0,1691,-19,2671
CPLE,"10/26/2022 2 p.m. EDT",1050,0,814,0,1687,-19,2664
CPLE,"10/26/2022 3 p.m. EDT",826,0,819,0,1689,-21,2662
CPLE,"10/26/2022 4 p.m. EDT",670,0,832,0,1721,-18,2663
CPLE,"10/26/2022 5 p.m. EDT",530,0,836,0,1703,-20,2662
CPLE,"10/26/2022 6 p.m. EDT",213,11,855,0,1795,-20,2659
CPLE,"10/26/2022 7 p.m. EDT",17,30,864,0,1839,-19,2661
CPLE,"10/26/2022 8 p.m. EDT",5,32,864,0,1907,-18,2660
CPLE,"10/26/2022 9 p.m. EDT",-1,2,869,0,1917,-19,2660
CPLE,"10/26/2022 10 p.m. EDT",0,0,871,0,1764,-20,2659
CPLE,"10/26/2022 11 p.m. EDT",0,0,872,0,1631,-20,2659
CPLE,"10/27/2022 12 a.m. EDT",-1,0,836,0,1287,-21,2660
CPLE,"10/27/2022 1 a.m. EDT",-4,0,804,0,1280,-17,2660
CPLE,"10/27/2022 2 a.m. EDT",0,0,803,0,1292,-20,2660
CPLE,"10/27/2022 3 a.m. EDT",-4,0,802,0,1293,-20,2660
CPLE,"10/27/2022 4 a.m. EDT",-1,0,801,0,1297,-19,2658
CPLE,"10/27/2022 5 a.m. EDT",-2,-1,799,0,1305,-20,2659
CPLE,"10/27/2022 6 a.m. EDT",-2,0,795,0,1286,-20,2660
CPLE,"10/27/2022 7 a.m. EDT",-2,11,816,0,1321,-19,2661
CPLE,"10/27/2022 8 a.m. EDT",35,11,865,-1,1473,-21,2664
CPLE,"10/27/2022 9 a.m. EDT",365,0,867,-1,1445,-19,2662
CPLE,"10/27/2022 10 a.m. EDT",880,0,812,-1,1444,-20,2661
CPLE,"10/27/2022 11 a.m. EDT",1226,0,802,-1,1433,-19,2658
CPLE,"10/27/2022 12 p.m. EDT",1527,0,794,-1,1428,-21,2656
CPLE,"10/27/2022 1 p.m. EDT",1964,0,772,-1,1436,-18,2657
CPLE,"10/27/2022 2 p.m. EDT",2097,-1,775,0,1429,-20,2657
CPLE,"10/27/2022 3 p.m. EDT",2019,0,771,0,1429,-18,2658
CPLE,"10/27/2022 4 p.m. EDT",1757,0,817,0,1417,-20,2655
CPLE,"10/27/2022 5 p.m. EDT",1142,0,864,0,1435,-21,2658
CPLE,"10/27/2022 6 p.m. EDT",358,1,910,0,1651,-19,2656
CPLE,"10/27/2022 7 p.m. EDT",32,35,971,0,1765,-19,2654
CPLE,"10/27/2022 8 p.m. EDT",25,34,975,0,1763,-21,2656
CPLE,"10/27/2022 9 p.m. EDT",0,19,1005,0,1763,-17,2654
CPLE,"10/27/2022 10 p.m. EDT",-1,4,992,0,1736,-20,2661
CPLE,"10/27/2022 11 p.m. EDT",-3,5,938,0,1559,-19,2656
CPLE,"10/28/2022 12 a.m. EDT",-1,5,923,0,1422,-19,2659
CPLE,"10/28/2022 1 a.m. EDT",-3,4,925,0,1448,-20,2659
CPLE,"10/28/2022 2 a.m. EDT",-3,6,911,0,1417,-20,2659
CPLE,"10/28/2022 3 a.m. EDT",-3,5,902,-1,1388,-18,2656
CPLE,"10/28/2022 4 a.m. EDT",0,6,896,-1,1380,-21,2659
CPLE,"10/28/2022 5 a.m. EDT",-1,5,903,-1,1426,-21,2656
CPLE,"10/28/2022 6 a.m. EDT",0,5,920,-1,1436,-18,2658
CPLE,"10/28/2022 7 a.m. EDT",0,35,930,-1,1636,-21,2657
CPLE,"10/28/2022 8 a.m. EDT",29,34,937,-1,1679,-19,2658
CPLE,"10/28/2022 9 a.m. EDT",330,6,977,0,1650,-21,2656
CPLE,"10/28/2022 10 a.m. EDT",941,5,967,-1,1510,-18,2658
CPLE,"10/28/2022 11 a.m. EDT",1127,4,876,0,1338,-21,2660
CPLE,"10/28/2022 12 p.m. EDT",1205,5,825,0,1311,-22,2657
CPLE,"10/28/2022 1 p.m. EDT",1132,5,832,0,1318,-21,2659
CPLE,"10/28/2022 2 p.m. EDT",1111,5,828,0,1316,-19,2658
CPLE,"10/28/2022 3 p.m. EDT",894,4,829,0,1307,-22,2654
CPLE,"10/28/2022 4 p.m. EDT",541,5,829,0,1307,-20,2653
CPLE,"10/28/2022 5 p.m. EDT",264,5,887,0,1530,-20,2653
CPLE,"10/28/2022 6 p.m. EDT",94,4,908,0,1575,-21,2653
CPLE,"10/28/2022 7 p.m. EDT",24,4,905,0,1599,-20,2651
CPLE,"10/28/2022 8 p.m. EDT",23,5,895,0,1540,-20,2651
CPLE,"10/28/2022 9 p.m. EDT",-2,5,931,0,1612,-21,2657
CPLE,"10/28/2022 10 p.m. EDT",-3,4,935,0,1611,-20,2658
CPLE,"10/28/2022 11 p.m. EDT",-1,5,930,0,1597,-21,2659
CPLE,"10/29/2022 12 a.m. EDT",0,4,868,0,1362,-20,2659
CPLE,"10/29/2022 1 a.m. EDT",-2,5,851,0,1323,-21,2660
CPLE,"10/29/2022 2 a.m. EDT",-2,5,853,0,1331,-21,2654
CPLE,"10/29/2022 3 a.m. EDT",-1,5,854,-1,1331,-21,2652
CPLE,"10/29/2022 4 a.m. EDT",-3,3,848,-1,1322,-21,2651
CPLE,"10/29/2022 5 a.m. EDT",0,5,858,-2,1342,-21,2653
CPLE,"10/29/2022 6 a.m. EDT",-2,5,926,-1,1350,-21,2650
CPLE,"10/29/2022 7 a.m. EDT",-1,5,937,-2,1358,-19,2651
CPLE,"10/29/2022 8 a.m. EDT",22,4,909,-1,1357,-21,2652
CPLE,"10/29/2022 9 a.m. EDT",95,7,898,-1,1321,-20,2654
CPLE,"10/29/2022 10 a.m. EDT",290,9,892,0,1314,-19,2653
CPLE,"10/29/2022 11 a.m. EDT",574,9,896,-1,1319,-21,2654
CPLE,"10/29/2022 12 p.m. EDT",840,8,902,0,1329,-20,2652
CPLE,"10/29/2022 1 p.m. EDT",1018,20,900,0,1312,-18,2655
CPLE,"10/29/2022 2 p.m. EDT",1000,21,887,0,1313,-21,2651
CPLE,"10/29/2022 3 p.m. EDT",895,6,831,0,1308,-22,2652
CPLE,"10/29/2022 4 p.m. EDT",745,10,828,0,1301,-22,2653
CPLE,"10/29/2022 5 p.m. EDT",429,9,838,0,1302,-21,2653
CPLE,"10/29/2022 6 p.m. EDT",141,6,896,0,1313,-23,2652
CPLE,"10/29/2022 7 p.m. EDT",27,11,908,0,1472,-21,2652
CPLE,"10/29/2022 8 p.m. EDT",25,38,904,0,1467,-22,2649
CPLE,"10/29/2022 9 p.m. EDT",0,37,944,0,1431,-22,2652
CPLE,"10/29/2022 10 p.m. EDT",-2,14,937,0,1330,-21,2652
CPLE,"10/29/2022 11 p.m. EDT",-1,7,924,0,1299,-23,2650
CPLE,"10/30/2022 12 a.m. EDT",-3,7,882,0,1302,-23,2649
CPLE,"10/30/2022 1 a.m. EDT",-3,8,819,0,1269,-20,2652
CPLE,"10/30/2022 2 a.m. EDT",-2,9,805,0,1247,-22,2651
CPLE,"10/30/2022 3 a.m. EDT",-1,7,793,-1,1202,-22,2652
CPLE,"10/30/2022 4 a.m. EDT",-3,9,775,-1,1162,-22,2654
CPLE,"10/30/2022 5 a.m. EDT",-2,8,774,-2,1175,-22,2654
CPLE,"10/30/2022 6 a.m. EDT",-2,9,800,-1,1247,-23,2717
CPLE,"10/30/2022 7 a.m. EDT",0,8,818,-2,1295,-22,2738
CPLE,"10/30/2022 8 a.m. EDT",17,8,812,-1,1308,-22,2670
CPLE,"10/30/2022 9 a.m. EDT",263,9,816,-1,1320,-20,2666
CPLE,"10/30/2022 10 a.m. EDT",744,7,802,0,1261,-22,2670
CPLE,"10/30/2022 11 a.m. EDT",1142,8,796,0,1259,-22,2668
CPLE,"10/30/2022 12 p.m. EDT",1451,9,814,0,1301,-23,2669
CPLE,"10/30/2022 1 p.m. EDT",1507,7,830,0,1320,-19,2667
CPLE,"10/30/2022 2 p.m. EDT",1483,8,828,0,1308,-23,2667
CPLE,"10/30/2022 3 p.m. EDT",1209,8,828,0,1304,-21,2665
CPLE,"10/30/2022 4 p.m. EDT",1084,9,827,0,1292,-21,2664
CPLE,"10/30/2022 5 p.m. EDT",765,37,827,0,1301,-23,2663
CPLE,"10/30/2022 6 p.m. EDT",218,41,810,0,1327,-25,2664
CPLE,"10/30/2022 7 p.m. EDT",10,36,829,0,1518,-27,2664
CPLE,"10/30/2022 8 p.m. EDT",8,37,906,0,1644,-26,2664
CPLE,"10/30/2022 9 p.m. EDT",-1,36,916,0,1543,-25,2663
CPLE,"10/30/2022 10 p.m. EDT",-1,11,921,0,1472,-27,2662
CPLE,"10/30/2022 11 p.m. EDT",-3,8,896,0,1315,-28,2661
CPLE,"10/31/2022 12 a.m. EDT",-1,8,834,0,1304,-26,2663
